rep;blk;geno;RowBlk;ColBlk;env;hgt
r3;b06;l16;rb06;cb20;s;208
r3;b06;l19;rb06;cb19;s;200
r3;b07;l10;rb06;cb18;s;184
r3;b07;l05;rb06;cb17;s;192
r3;b08;l04;rb06;cb16;s;203
r3;b08;l01;rb06;cb15;s;196
r3;b09;l13;rb06;cb14;s;201
r3;b09;l15;rb06;cb13;s;191
r3;b10;l03;rb06;cb12;s;200
r3;b10;l18;rb06;cb11;s;215
r3;b06;l14;rb06;cb10;k;219
r3;b06;l06;rb06;cb09;k;226
r3;b07;l11;rb06;cb08;k;225
r3;b07;l05;rb06;cb07;k;214
r3;b08;l04;rb06;cb06;k;233
r3;b08;l03;rb06;cb05;k;229
r3;b09;l17;rb06;cb04;k;204
r3;b09;l16;rb06;cb03;k;212
r3;b10;l08;rb06;cb02;k;223
r3;b10;l19;rb06;cb01;k;221
r3;b05;l12;rb05;cb20;k;212
r3;b05;l20;rb05;cb19;k;232
r3;b04;l13;rb05;cb18;k;221
r3;b04;l01;rb05;cb17;k;207
r3;b03;l15;rb05;cb16;k;227
r3;b03;l09;rb05;cb15;k;241
r3;b02;l18;rb05;cb14;k;240
r3;b02;l02;rb05;cb13;k;241
r3;b01;l07;rb05;cb12;k;218
r3;b01;l10;rb05;cb11;k;222
r3;b05;l06;rb05;cb10;s;221
r3;b05;l07;rb05;cb09;s;204
r3;b04;l14;rb05;cb08;s;225
r3;b04;l11;rb05;cb07;s;225
r3;b03;l08;rb05;cb06;s;226
r3;b03;l17;rb05;cb05;s;187
r3;b02;l02;rb05;cb04;s;199
r3;b02;l09;rb05;cb03;s;215
r3;b01;l12;rb05;cb02;s;213
r3;b01;l20;rb05;cb01;s;170
r2;b06;l07;rb04;cb20;s;198
r2;b06;l02;rb04;cb19;s;220
r2;b07;l01;rb04;cb18;s;234
r2;b07;l14;rb04;cb17;s;211
r2;b08;l12;rb04;cb16;s;201
r2;b08;l03;rb04;cb15;s;205
r2;b09;l04;rb04;cb14;s;222
r2;b09;l20;rb04;cb13;s;186
r2;b10;l10;rb04;cb12;s;211
r2;b10;l15;rb04;cb11;s;206
r2;b06;l05;rb04;cb10;k;210
r2;b06;l07;rb04;cb09;k;208
r2;b07;l03;rb04;cb08;k;218
r2;b07;l12;rb04;cb07;k;231
r2;b08;l02;rb04;cb06;k;256
r2;b08;l10;rb04;cb05;k;229
r2;b09;l15;rb04;cb04;k;210
r2;b09;l18;rb04;cb03;k;217
r2;b10;l09;rb04;cb02;k;217
r2;b10;l19;rb04;cb01;k;223
r2;b05;l20;rb03;cb20;k;205
r2;b05;l17;rb03;cb19;k;207
r2;b04;l01;rb03;cb18;k;234
r2;b04;l16;rb03;cb17;k;231
r2;b03;l13;rb03;cb16;k;233
r2;b03;l14;rb03;cb15;k;244
r2;b02;l06;rb03;cb14;k;248
r2;b02;l11;rb03;cb13;k;248
r2;b01;l08;rb03;cb12;k;245
r2;b01;l04;rb03;cb11;k;238
r2;b05;l06;rb03;cb10;s;228
r2;b05;l17;rb03;cb09;s;193
r2;b04;l09;rb03;cb08;s;216
r2;b04;l05;rb03;cb07;s;214
r2;b03;l11;rb03;cb06;s;213
r2;b03;l16;rb03;cb05;s;202
r2;b02;l08;rb03;cb04;s;222
r2;b02;l13;rb03;cb03;s;206
r2;b01;l18;rb03;cb02;s;223
r2;b01;l19;rb03;cb01;s;200
r1;b06;l17;rb02;cb20;s;180
r1;b06;l20;rb02;cb19;s;188
r1;b07;l19;rb02;cb18;s;215
r1;b07;l09;rb02;cb17;s;215
r1;b08;l04;rb02;cb16;s;215
r1;b08;l08;rb02;cb15;s;219
r1;b09;l05;rb02;cb14;s;195
r1;b09;l16;rb02;cb13;s;205
r1;b10;l18;rb02;cb12;s;227
r1;b10;l02;rb02;cb11;s;232
r1;b06;l14;rb02;cb10;k;231
r1;b06;l16;rb02;cb09;k;219
r1;b07;l19;rb02;cb08;k;226
r1;b07;l18;rb02;cb07;k;233
r1;b08;l06;rb02;cb06;k;237
r1;b08;l07;rb02;cb05;k;217
r1;b09;l05;rb02;cb04;k;222
r1;b09;l02;rb02;cb03;k;245
r1;b10;l03;rb02;cb02;k;217
r1;b10;l17;rb02;cb01;k;203
r1;b05;l20;rb01;cb20;k;206
r1;b05;l01;rb01;cb19;k;227
r1;b04;l15;rb01;cb18;k;217
r1;b04;l10;rb01;cb17;k;217
r1;b03;l08;rb01;cb16;k;241
r1;b03;l12;rb01;cb15;k;235
r1;b02;l09;rb01;cb14;k;224
r1;b02;l04;rb01;cb13;k;231
r1;b01;l11;rb01;cb12;k;239
r1;b01;l13;rb01;cb11;k;239
r1;b05;l01;rb01;cb10;s;197
r1;b05;l13;rb01;cb09;s;202
r1;b04;l10;rb01;cb08;s;208
r1;b04;l11;rb01;cb07;s;212
r1;b03;l07;rb01;cb06;s;213
r1;b03;l03;rb01;cb05;s;208
r1;b02;l12;rb01;cb04;s;215
r1;b02;l06;rb01;cb03;s;215
r1;b01;l15;rb01;cb02;s;213
r1;b01;l14;rb01;cb01;s;219
